Products_link,Products_Model,Products_details,Price_regular,Price_offers,Currency,Known_price
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-14-plus-mq473lla,Apple iPhone 14 Plus,"A15 Bionic chip, 6-core CPU with 2 performance and 4 efficiency cores, 5-core GPU, 16-core Neural Engine - 6.7 inch - 512GB - (PRODUCT)RED - MQ473LL/A",1199.99,33.33,USD,4
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-z-flip3-sm-f711uzkbvzwsm-f711uzkavzw,Samsung Galaxy Z Flip3,Snapdragon 888 - 6.7 inch - 128GB - Phantom Black - SM-F711UZKBVZW/SM-F711UZKAVZW,999.99,27.77,USD,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-m13-sm-m135f-sm-m135flbueub,Samsung Galaxy M13 SM-M135F,8 cores - 6.6 inch - 64GB - Blue - SM-M135FLBUEUB,214.68,177.05,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-oneplus-nord-ce-2-lite-5011102001,Oneplus Nord CE 2 Lite,2022 - [Quallcomm Snapdragon 695] - 8 cores - 6.59 inch - 128GB - Blue - 5011102001,229, ,,2
https://www.device-specs.io/categories/smartphones/specifications-motorola-moto-g9-plus-pakm0011se,Motorola Moto G9 Plus,2020 - 8 cores - 6.8 inch - 128GB - Copper Rose - PAKM0011SE,269, ,,1
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-13-pro-mltw3lla,Apple iPhone 13 Pro,A15 Bionic chip with next-generation Neural Engine - 6.1 inch - 256GB - Graphite - MLTW3LL/A,999.99,27.77,USD,2
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-s22-sm-s901uzgevzw,Samsung Galaxy S22,Qualcomm Snapdragon 8 Gen 1 - 6.1 inch - 256GB - Green - SM-S901UZGEVZW,23.61,  ,,1
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-11-pro-mwch2lla,Apple iPhone 11 Pro,A13 Bionic chip with third-generation Neural Engine - 5.8 inch - 64GB - Space Gray - MWCH2LL/A,899.99,  ,,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-z-flip4-sm-f721ulbavzw,Samsung Galaxy Z Flip4,Snapdragon 8+ Gen 1 - 6.7 inch - 128GB - Blue - SM-F721ULBAVZW,23.61,  ,,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-z-flip4-sm-f721ulbexau,Samsung Galaxy Z Flip4,Snapdragon 8+ Gen 1 - 6.7 inch - 256GB - Blue - SM-F721ULBEXAU,44.17,  ,,2
https://www.device-specs.io/categories/smartphones/specifications-motorola-moto-g6-4699943,Motorola Moto G6,8 cores - 5.7 inch - 32GB - Blue - 4699943,159.95, ,,1
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-14-pro-mq2g3zda,Apple iPhone 14 Pro,2022 - A16 Bionic chip - 6 cores - 6.1 inch - 1GB - Black - MQ2G3ZD/A,1979,1899,EUR,2
https://www.device-specs.io/categories/smartphones/specifications-apple-preowned-iphone-12-pro-a2341,Apple PreOwned iPhone 12 Pro,Hexa-core (2x3.1 GHz Firestorm + 4x1.8 GHz Icestorm) - 6.1 inch - 512GB - Graphite - A2341,749.99,  ,,2
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-14-pro-mq293zda,Apple iPhone 14 Pro,2022 - A16 Bionic chip - 6 cores - 6.1 inch - 512GB - Purple - MQ293ZD/A,1719,1649,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-s22-plus-sm-s906bzwdeub,Samsung Galaxy S22 Plus,2022 - Samsung Exynos 2200 - 8 cores - 6.6 inch - 128GB - White - SM-S906BZWDEUB,1027, ,,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-s22-ultra-sm-x800nzaaeub,Samsung Galaxy S22 Ultra,2022 - [Qualcomm SM8450] - 8 cores - 12.4 inch - 128GB - Gray - SM-X800NZAAEUB,2199,2149,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-s20-fe-ef-zg780cnegew,Samsung Galaxy S20 FE,2020 - Qualcomm Snapdragon 865 - 8 cores - 6.5 inch - 128GB - Blue - EF-ZG780CNEGEW,528.99, ,,1
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-13-mln83lla,Apple iPhone 13,A15 Bionic chip with next-generation Neural Engine - 6.1 inch - 512GB - Blue - MLN83LL/A,999.99,27.77,USD,3
https://www.device-specs.io/categories/smartphones/specifications-realme-9-pro-rmx3472,Realme 9 Pro,2022 - 8 cores - 6.6 inch - 128GB - Green - RMX3472,399.95, ,,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-a13-sm-a137fzkkeue,Samsung Galaxy A13,2022 - 8 cores - 6.6 inch - 128GB - Black - SM-A137FZKKEUE,227,215,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-fairphone-3-003-0000-000100-0031,Fairphone 3,2020 - 8 cores - 5.65 inch - 64GB - Black - 003-0000-000100-0031,447.24, ,,1
https://www.device-specs.io/categories/smartphones/specifications-blackview-bv4900-pro-bv4900proorange,Blackview BV4900 Pro,8 cores - 5.7 inch - 64GB - Orange - BV4900PROORANGE,169.95, ,,1
https://www.device-specs.io/categories/smartphones/specifications-blackview-bv6600-bv6600,Blackview BV6600,2021 - 8 cores - 5.7 inch - 64GB - Black - bv6600,219.95,199.99,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-a13-samsung,Samsung Galaxy A13,2022 - 8 cores - 6.6 inch - 64GB - White - Samsung,189,178,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-alcatel-1b-5031g-2aalgb12,Alcatel 1B,4 cores - 5.5 inch - 32GB - black - 5031G-2AALGB12,107.75, ,,1
https://www.device-specs.io/categories/smartphones/specifications-syco-rs-403-rugged-waterproof-rs403,Syco RS-403 Rugged Waterproof,2021 - 8 cores - 5.5 inch - 64GB - Black - RS403,189.6,183.3,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-a13-sm-a135f-sm-a135fzwkeuc,Samsung Galaxy A13 SM-A135F,8 cores - 6.6 inch - 128GB - White - SM-A135FZWKEUC,225, ,,1
https://www.device-specs.io/categories/smartphones/specifications-sony-xperia-xz2-4646192,Sony Xperia XZ2,2018 - 8 cores - 5.7 inch - 64GB - Silver - 4646192,454.99, ,,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-j3-sam-j330fnbk3,Samsung Galaxy J3,2017 - 4 cores - 5.5 inch - 16GB - Black - SAM-J330FNBK3,189, ,,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-a7-sm-a750fzbuphn,Samsung Galaxy A7,8 cores - 6 inch - 64GB - Black - SM-A750FZBUPHN,289, ,,1
https://www.device-specs.io/categories/smartphones/specifications-alcatel-1b-2022-5031g-5031g-2aalwe12,Alcatel 1B 2022 5031G,4 cores - 5.5 inch - 32GB - Black - 5031G-2AALWE12,118.39,107.75,EUR,1
